,Contrast,Category,Fisher_Combined_Pvalue,Fisher_Combined_Pvalue_BH
1,NeuN_num,increase,0.1856147455680834,0.5944516275721528
2,NeuN_num,decrease,0.03590018839171556,0.23357335614866143
3,Abeta_Mean,increase,8.249543528260307e-30,6.269805128325416e-21
4,Abeta_Mean,decrease,2.7261450859525875e-17,3.195486474213498e-12
5,NeuNDensity_Mean,increase,0.06051351854730674,0.37884210208299834
6,NeuNDensity_Mean,decrease,0.6206815571444694,0.8955622922820944
7,volume_mm3,increase,5.159960997432006e-08,5.518704102460683e-05
8,volume_mm3,decrease,2.6471694292716067e-18,6.252142133164891e-13
